schemaVersion,recordType,source,content,collectedAt
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/nidhaloff/igel'}","{'entityName': 'nidhaloff', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327883
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/langchain-ai/langgraphjs'}","{'entityName': 'langchain-ai', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327888
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/dragen1860/Deep-Learning-with-PyTorch-Tutorials'}","{'entityName': 'dragen1860', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925661
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/luspr/awesome-ml-courses'}","{'entityName': 'luspr', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925682
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/shogun-toolbox/shogun'}","{'entityName': 'shogun-toolbox', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925692
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/spiceai/spiceai'}","{'entityName': 'spiceai', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925701
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/elevenlabs/elevenlabs-python'}","{'entityName': 'elevenlabs', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925710
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/awesome-mlss/awesome-mlss'}","{'entityName': 'awesome-mlss', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925720
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/xlang-ai/OSWorld'}","{'entityName': 'xlang-ai', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925729
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/sonos/tract'}","{'entityName': 'sonos', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925739
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/reloadware/reloadium'}","{'entityName': 'reloadware', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925749
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/afshinea/stanford-cs-221-artificial-intelligence'}","{'entityName': 'afshinea', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925758
